record_id,feedstock_class,material_family,material_group,grade_or_alloy,product_name,supplier,manufacturer,supplier_type,country_or_region,processes,form_factor,diameter_mm,package_quantity,package_unit,psd_um,particle_shape,production_route,density_g_cm3,currency,package_price,normalized_price_per_kg,normalized_price_per_l,price_type,lead_time,source_url,source_accessed_date,confidence,refresh_or_reuse_note,handling_risks,qualification_level,sustainability_signal,notes
MET-NI-IN625-REN-001,powder,metal,Ni,Inconel 625,Inconel 625 powder,Renishaw,Renishaw,machine_oem,UK,LPBF,powder,,,,unknown,spherical,unknown,8.44,USD,,,,request_quote,longer lead times may apply,https://store.renishaw.com/en-AE/category/additive-manufacturing-powders,2026-05-17,high,"track sieving loss, oxygen/moisture pickup, spatter/fines, and virgin refresh ratio",combustible dust; inhalation; reactive fines,public product listing; needs CoA for real machine qualification,reuse possible but must be verified by chemistry and PSD,Quote-only product page.
MET-FE-MARAGING-REN-001,powder,metal,Fe,Maraging Steel,Maraging Steel powder,Renishaw,Renishaw,machine_oem,UK,LPBF,powder,,,,unknown,spherical,unknown,8.1,USD,,,,request_quote,longer lead times may apply,https://store.renishaw.com/en-AE/category/additive-manufacturing-powders,2026-05-17,high,"track sieving loss, oxygen/moisture pickup, spatter/fines, and virgin refresh ratio",combustible dust; inhalation; reactive fines,public product listing; needs CoA for real machine qualification,reuse possible but must be verified by chemistry and PSD,Quote-only product page.
FIL-PLA-PRUSAMENT-001,filament,polymer,PLA,PLA,Prusament PLA Galaxy Black 1.75 mm,Prusa Research,Prusament,material_manufacturer,EU/Czech Republic,FFF;FDM,spool filament,1.75,1,kg,,,melt-extruded filament,1.24,USD,29.99,29.99,,public_list,varies by color/stock,https://prusament.com/materials/pla/,2026-05-17,medium,single-use filament; track failed-print scrap and recycled-content variants,low temperature polymer; keep dry and avoid heat deformation,consumer/prosumer material; not aerospace/medical without extra qualification,refill and 2 kg options can reduce spool waste,Public page lists multiple PLA colors around 29.99 USD/EUR and 2 kg variants; verify exact SKU before procurement.
FIL-PLA-PRUSAMENT-2KG-001,filament,polymer,PLA,PLA,Prusament PLA 2 kg spool variants,Prusa Research,Prusament,material_manufacturer,EU/Czech Republic,FFF;FDM,spool filament,1.75,2,kg,,,melt-extruded filament,1.24,USD,49.99,25.0,,public_list,varies by color/stock,https://prusament.com/materials/pla/,2026-05-17,medium,single-use filament; track failed-print scrap and recycled-content variants,low temperature polymer; keep dry and avoid heat deformation,consumer/prosumer material; not aerospace/medical without extra qualification,larger spool lowers packaging per kg,2 kg color variants listed publicly; price per kg is derived from package price.
FIL-PA12CF-NYLONX-MH-001,filament,polymer_composite,PA12-CF,Carbon-fiber nylon,MatterHackers NylonX Carbon Fiber PA12 1.75 mm 0.5 kg,MatterHackers,MatterHackers,material_manufacturer,USA,FFF;FDM,spool filament,1.75,0.5,kg,,,carbon-fiber filled melt-extruded filament,,USD,63.0,126.0,,public_list,public page says in stock/ships today when available,https://www.matterhackers.com/store/3d-printer-filament/nylonx-carbon-fiber-nylon-filament-1.75mm,2026-05-17,medium,single-use filament; failed print scrap is usually not recycled in-machine,hygroscopic nylon; dry before printing; abrasive to brass nozzles,engineering filament; machine/process qualification required,long-life functional parts may offset material cost; track scrap,Public page lists $63 for 0.5 kg; price per kg derived.
FIL-PA6CF-POLYMAKER-001,filament,polymer_composite,PA6-CF20,PA6-CF20,Polymaker Fiberon PA6-CF20 1.75 mm,Polymaker,Polymaker,material_manufacturer,China/Global,FFF;FDM,spool filament,1.75,,spool,,,20% carbon-fiber filled melt-extruded filament,,USD,39.99,,,public_list,stock varies by region,https://shop.polymaker.com/collections/fiberon,2026-05-17,low,single-use filament; track dried vs wet print performance,very hygroscopic nylon; needs drying; abrasive fiber; enclosure recommended,"engineering/prototype; qualify lot, drying, nozzle, and annealing route",composite durability can reduce replacement rate; recyclability lower than neat polymer,Collection page lists price but package quantity must be verified on product page.
FIL-PPSCF-POLYMAKER-001,filament,polymer_composite,PPS-CF10,PPS-CF10,Polymaker Fiberon PPS-CF10 1.75 mm,Polymaker,Polymaker,material_manufacturer,China/Global,FFF;FDM,spool filament,1.75,,spool,,,carbon-fiber filled PPS filament,,USD,69.99,,,public_list,stock varies by region,https://shop.polymaker.com/collections/fiberon,2026-05-17,low,single-use filament; track high-temp failed-print scrap,requires high nozzle temperature and controlled chamber; abrasive fiber,high-performance engineering filament; strict printer capability check,chemical/thermal resistance may extend service life,Collection page lists price; exact spool mass must be verified.
FIL-ASACF-POLYMAKER-001,filament,polymer_composite,ASA-CF08,ASA-CF08,Polymaker Fiberon ASA-CF08 1.75 mm,Polymaker,Polymaker,material_manufacturer,China/Global,FFF;FDM,spool filament,1.75,,spool,,,carbon-fiber filled ASA filament,,USD,19.99,,,public_list,stock varies by region,https://shop.polymaker.com/collections/fiberon,2026-05-17,low,single-use filament; track UV/outdoor performance,styrenic emissions; enclosure/ventilation recommended; abrasive fiber,outdoor engineering/prototype; qualify UV and thermal exposure,outdoor durability can reduce replacement rate,Collection page lists price; package mass must be verified.
FIL-ASA-FORMFUTURA-APOLLOX-001,filament,polymer,ASA,Modified ASA,FormFutura ApolloX ASA filament,FormFutura,FormFutura,material_manufacturer,EU/Netherlands,FFF;FDM,spool filament,1.75,,spool,,,modified ASA melt-extruded filament,,EUR,28.92,,,public_list,stock varies by region,https://www.formfutura.com/filaments/asa,2026-05-17,low,single-use filament; track warped/failed-print scrap,styrenic emissions; heated chamber recommended for large parts,engineering/outdoor prototype; not certified without extra validation,UV/weather resistance for longer service life,Category page lists ApolloX price; exact spool mass/SKU should be confirmed.
RES-SLA-FORMLABS-GREY-V5-001,resin,photopolymer,Acrylate resin,Grey Resin V5,Formlabs Grey Resin V5 1 L,3DCut / Formlabs reseller,Formlabs,reseller,EU/Italy,SLA;DLP;MSLA,liquid resin bottle,,1,L,,,photopolymer liquid resin,,EUR,99.0,,99.0,public_list,stock varies by reseller,https://www.3dcut.it/en/prodotto/formlabs-grey-resin-v5-1-l/,2026-05-17,medium,unused resin can be filtered/reused if uncontaminated; track shelf life and UV exposure,skin sensitizer risk; gloves/eye protection; dispose uncured resin properly,machine-material profile available for Formlabs ecosystem,liquid resin waste and IPA wash waste should be tracked,Public Italian reseller price; VAT treatment must be tracked.
POW-PA12-HP-MJF-001,powder,polymer,PA12,HP 3D High Reusability PA12,HP 3D High Reusability PA 12,HP / HP reseller network,HP,machine_oem,Global,MJF,polymer powder,,13,kg,,polymer powder,polyamide powder for MJF,,,,,,request_quote,quote/reseller dependent,https://www.hp.com/it-it/printers/3d-printers/high-reusability-3d-printing-plastic-materials.html,2026-05-17,high,HP public materials page states high reusability; datasheets commonly state 80% reusability/20% refresh for PA12,polymer dust; moisture and thermal history tracking,closed/qualified HP MJF ecosystem material,high powder reuse is a core value proposition,No public price in seed; store only quote status unless a real quote is logged.
POW-PA12-EOS-PA2200-001,powder,polymer,PA12,PA 2200,EOS PA 2200 Polyamide 12,EOS Store,EOS,machine_oem,EU/Germany,SLS,polymer powder,,,kg,approx d50 56,polymer powder,polyamide powder for laser sintering,0.93,,,,,request_quote,quote/store dependent,https://store.eos.info/products/pa-2200-polyamide-12,2026-05-17,high,"track refresh ratio, orange-peel risk, cake aging, and powder thermal history",polymer dust; thermal aging; moisture,qualified EOS SLS ecosystem material,reuse possible with refresh strategy; old powder affects surface/ductility,Public product page describes application suitability; price not public in seed.
POW-PA11-BASF-ULTRASINT-001,powder,polymer,PA11,Ultrasint PA11,Forward AM / BASF Ultrasint PA11 powder 5 kg,Carl Roth / reseller,Forward AM / BASF,reseller,EU/Germany,SLS;MJF,polymer powder,,5,kg,,polymer powder,bio-based PA11 powder,1.01,EUR,490.2,98.04,,public_list,reseller dependent,https://www.carlroth.com/com/en/pa11/ultrasint-pa-11/p/26xl.3,2026-05-17,medium,track 60/40 refresh guidance when available by machine/profile,moisture; polymer dust; powder aging,industrial SLS/MJF powder; qualification depends on machine and profile,bio-based PA11 from castor oil is a positive sustainability signal,Public reseller page lists 5 kg pack price; verify VAT and shipping.
POW-PA11CF-BASF-F2P-001,powder,polymer_composite,PA11-CF,Ultrasint PA11 Black CF,BASF Ultrasint PA11 Black CF powder,Filament2Print,Forward AM / BASF,reseller,EU/Spain,SLS,polymer composite powder,,,kg,,polymer powder with short carbon fiber,carbon-fiber reinforced PA11 powder,,EUR,1100.0,,,public_list,reseller dependent,https://filament2print.com/en/polyamide-pa11/3348-basf-ultrasint-pa11-black-cf.html,2026-05-17,low,"track fiber segregation, refresh, and thermal aging",fine polymer/composite dust; carbon fiber inhalation; moisture,industrial composite SLS powder; machine profile required,bio-based matrix but carbon fiber complicates recycling,Public page lists price but package basis must be confirmed before deriving €/kg.
PEL-PLA-FORMFUTURA-EASYFIL-001,pellet,polymer,PLA,PLA pellets,FormFutura EasyFil ePLA pellets,FormFutura,FormFutura,material_manufacturer,EU/Netherlands,FGF;pellet extrusion;MEX,pellets/granules,,,kg,,pellet,polymer compounding/pelletization,,EUR,20.65,,,public_list,stock varies,https://www.formfutura.com/apollox-flame-retardant,2026-05-17,low,pellet extrusion may reuse shredded polymer if dried/filtered,moisture; pellet contamination; screw wear with fillers,large-format/pellet-extrusion material; screw/nozzle profile needed,pellets can reduce packaging and enable recycled feedstocks,Seen as related public product listing; exact SKU page should be added later.
WIRE-AL-ER4043-DED-001,wire,metal,Al,ER4043,Aluminum ER4043 welding wire as WAAM/DED candidate,generic welding supplier,various,commodity_supplier,Global,WAAM;wire DED,wire spool,1.2,,kg,,,drawn welding wire,2.68,,,,,manual_quote,supplier dependent,,2026-05-17,low,"wire has no powder reuse issue; track spatter, trimming, and wire-end scrap",welding fumes and shielding gas hazards during process,"candidate; needs wire chemistry, diameter tolerance, and WAAM procedure qualification",wire processes can have high material utilization compared with powder bed,Placeholder for future quote logging; useful to compare powder vs wire feedstock economics.
SLU-ALUMINA-LITHOZ-001,ceramic_slurry,ceramic,Al2O3,Alumina slurry,Alumina ceramic photopolymer slurry candidate,generic ceramic AM supplier,various,machine_oem_or_reseller,Global,LCM;DLP ceramic,ceramic-loaded resin/slurry,,,kg/L,,ceramic particles in photopolymer,ceramic powder + photopolymer slurry,,,,,,request_quote,quote dependent,,2026-05-17,low,"track viscosity drift, sedimentation, contamination, and debinding/sintering shrinkage",uncured resin exposure; ceramic dust after debinding/sintering operations,process-specific; requires debinding/sintering curve and shrinkage calibration,ceramic AM can reduce machining waste for hard ceramics,Placeholder category so repo covers ceramics beyond metal/polymer.
