observation_id,record_id,observed_date,supplier,currency,package_price,package_quantity,package_unit,normalized_price_per_kg,normalized_price_per_l,price_type,confidence,source_url,notes
OBS-FIL-PLA-PRUSAMENT-001,FIL-PLA-PRUSAMENT-001,2026-05-17,Prusa Research,USD,29.99,1,kg,29.99,,public_list,medium,https://prusament.com/materials/pla/,Public page lists multiple PLA colors around 29.99 USD/EUR and 2 kg variants; verify exact SKU before procurement.
OBS-FIL-PLA-PRUSAMENT-2KG-001,FIL-PLA-PRUSAMENT-2KG-001,2026-05-17,Prusa Research,USD,49.99,2,kg,25.0,,public_list,medium,https://prusament.com/materials/pla/,2 kg color variants listed publicly; price per kg is derived from package price.
OBS-FIL-PA12CF-NYLONX-MH-001,FIL-PA12CF-NYLONX-MH-001,2026-05-17,MatterHackers,USD,63.0,0.5,kg,126.0,,public_list,medium,https://www.matterhackers.com/store/3d-printer-filament/nylonx-carbon-fiber-nylon-filament-1.75mm,Public page lists $63 for 0.5 kg; price per kg derived.
OBS-FIL-PA6CF-POLYMAKER-001,FIL-PA6CF-POLYMAKER-001,2026-05-17,Polymaker,USD,39.99,,spool,,,public_list,low,https://shop.polymaker.com/collections/fiberon,Collection page lists price but package quantity must be verified on product page.
OBS-FIL-PPSCF-POLYMAKER-001,FIL-PPSCF-POLYMAKER-001,2026-05-17,Polymaker,USD,69.99,,spool,,,public_list,low,https://shop.polymaker.com/collections/fiberon,Collection page lists price; exact spool mass must be verified.
OBS-FIL-ASACF-POLYMAKER-001,FIL-ASACF-POLYMAKER-001,2026-05-17,Polymaker,USD,19.99,,spool,,,public_list,low,https://shop.polymaker.com/collections/fiberon,Collection page lists price; package mass must be verified.
OBS-FIL-ASA-FORMFUTURA-APOLLOX-001,FIL-ASA-FORMFUTURA-APOLLOX-001,2026-05-17,FormFutura,EUR,28.92,,spool,,,public_list,low,https://www.formfutura.com/filaments/asa,Category page lists ApolloX price; exact spool mass/SKU should be confirmed.
OBS-RES-SLA-FORMLABS-GREY-V5-001,RES-SLA-FORMLABS-GREY-V5-001,2026-05-17,3DCut / Formlabs reseller,EUR,99.0,1,L,,99.0,public_list,medium,https://www.3dcut.it/en/prodotto/formlabs-grey-resin-v5-1-l/,Public Italian reseller price; VAT treatment must be tracked.
OBS-POW-PA12-HP-MJF-001,POW-PA12-HP-MJF-001,2026-05-17,HP / HP reseller network,,,13,kg,,,request_quote,high,https://www.hp.com/it-it/printers/3d-printers/high-reusability-3d-printing-plastic-materials.html,No public price in seed; store only quote status unless a real quote is logged.
OBS-POW-PA12-EOS-PA2200-001,POW-PA12-EOS-PA2200-001,2026-05-17,EOS Store,,,,kg,,,request_quote,high,https://store.eos.info/products/pa-2200-polyamide-12,Public product page describes application suitability; price not public in seed.
OBS-POW-PA11-BASF-ULTRASINT-001,POW-PA11-BASF-ULTRASINT-001,2026-05-17,Carl Roth / reseller,EUR,490.2,5,kg,98.04,,public_list,medium,https://www.carlroth.com/com/en/pa11/ultrasint-pa-11/p/26xl.3,Public reseller page lists 5 kg pack price; verify VAT and shipping.
OBS-POW-PA11CF-BASF-F2P-001,POW-PA11CF-BASF-F2P-001,2026-05-17,Filament2Print,EUR,1100.0,,kg,,,public_list,low,https://filament2print.com/en/polyamide-pa11/3348-basf-ultrasint-pa11-black-cf.html,Public page lists price but package basis must be confirmed before deriving €/kg.
OBS-PEL-PLA-FORMFUTURA-EASYFIL-001,PEL-PLA-FORMFUTURA-EASYFIL-001,2026-05-17,FormFutura,EUR,20.65,,kg,,,public_list,low,https://www.formfutura.com/apollox-flame-retardant,Seen as related public product listing; exact SKU page should be added later.
OBS-WIRE-AL-ER4043-DED-001,WIRE-AL-ER4043-DED-001,2026-05-17,generic welding supplier,,,,kg,,,manual_quote,low,,Placeholder for future quote logging; useful to compare powder vs wire feedstock economics.
OBS-SLU-ALUMINA-LITHOZ-001,SLU-ALUMINA-LITHOZ-001,2026-05-17,generic ceramic AM supplier,,,,kg/L,,,request_quote,low,,Placeholder category so repo covers ceramics beyond metal/polymer.
